group,vendor,application,aor,organization,service,country
6,0,0,0,0,0,0
12,1,1,0,0,0,0
12,1,1,0,0,0,0
2,2,2,0,0,0,0
3,3,3,0,0,0,0
12,1,1,0,0,0,0
2,2,2,0,0,0,0
1,2,2,1,1,0,1
1,2,2,1,2,0,1
2,2,2,0,0,0,0
4,1,1,1,3,0,1
2,2,2,0,0,0,0
12,1,1,0,0,0,0
1,2,2,1,4,0,1
7,2,2,2,5,0,2
5,2,2,3,6,0,3
2,2,2,0,0,0,0
12,1,1,0,0,0,0
11,4,4,1,7,0,4
1,5,5,1,8,0,1
2,2,2,0,0,0,0
0,6,6,0,0,0,0
5,2,2,3,9,0,5
2,2,2,0,0,0,0
10,5,5,3,10,0,6
2,2,2,0,0,0,0
1,7,7,1,11,0,1
2,2,2,0,0,0,0
8,3,3,1,12,0,1
5,2,2,3,13,0,7
2,2,2,0,0,0,0
12,1,1,0,0,0,0
2,2,2,0,0,0,0
12,1,1,0,0,0,0
0,4,4,0,0,0,0
12,1,1,0,0,0,0
2,2,2,0,0,0,0
12,1,1,0,0,0,0
2,2,2,0,0,0,0
2,2,2,0,0,0,0
3,3,3,0,0,0,0
15,5,5,0,0,0,0
12,1,1,0,0,0,0
10,8,8,2,14,0,8
5,2,2,3,13,0,7
2,2,2,0,0,0,0
3,3,3,0,0,0,0
3,3,3,0,0,0,0
1,9,9,1,4,0,1
6,0,0,0,0,0,0
14,1,10,0,0,0,0
12,1,1,0,0,0,0
4,1,1,1,15,0,1
1,0,0,1,16,0,1
4,1,10,1,17,0,1
14,1,10,0,0,0,0
2,2,2,0,0,0,0
2,2,2,0,0,0,0
12,1,1,0,0,0,0
5,2,2,3,18,0,3
1,0,0,1,16,0,1
1,2,2,1,17,0,1
0,4,4,0,0,0,0
12,1,1,0,0,0,0
14,1,10,0,0,0,0
4,1,1,1,19,0,1
0,10,11,0,0,0,0
2,2,2,0,0,0,0
5,2,2,3,18,0,3
1,5,5,1,4,0,1
5,2,2,3,20,0,9
6,0,0,0,0,0,0
4,1,1,1,21,0,1
1,2,2,1,12,0,1
15,5,5,0,0,0,0
3,3,3,0,0,0,0
10,1,1,3,22,0,10
2,2,2,0,0,0,0
12,1,1,0,0,0,0
12,1,1,0,0,0,0
2,2,2,0,0,0,0
2,2,2,0,0,0,0
13,3,3,3,18,0,3
4,1,1,1,23,0,1
12,1,1,0,0,0,0
2,2,2,0,0,0,0
4,1,1,1,17,0,1
4,1,10,1,17,0,1
1,2,2,1,4,0,1
0,11,12,0,0,0,0
3,3,3,0,0,0,0
13,3,3,3,24,0,11
15,5,5,0,0,0,0
15,5,5,0,0,0,0
1,2,2,1,25,0,1
10,12,13,3,26,0,3
1,13,14,1,27,0,1
4,1,1,1,17,0,1
6,0,0,0,0,0,0
10,1,1,2,28,0,12
4,1,1,1,17,0,1
0,14,15,0,0,0,0
4,1,1,1,29,0,1
0,15,16,0,0,0,0
4,1,1,1,23,0,1
4,1,10,1,21,0,1
14,1,10,0,0,0,0
2,2,2,0,0,0,0
6,0,0,0,0,0,0
3,3,3,0,0,0,0
12,1,1,0,0,0,0
10,5,5,3,30,0,13
12,1,17,0,0,0,0
4,1,1,1,17,0,1
10,1,1,3,31,0,14
6,0,0,0,0,0,0
10,5,5,3,32,0,13
12,1,1,0,0,0,0
5,2,2,3,33,0,5
13,3,3,2,34,0,15
2,2,2,0,0,0,0
0,16,18,0,0,0,0
8,3,3,1,35,0,1
3,3,3,0,0,0,0
0,17,19,0,0,0,0
10,0,0,3,36,0,5
6,0,0,0,0,0,0
2,2,2,0,0,0,0
14,1,10,0,0,0,0
1,2,2,1,37,0,1
2,2,2,0,0,0,0
2,2,2,0,0,0,0
15,5,5,0,0,0,0
13,3,3,3,38,0,16
5,2,2,3,39,0,16
4,1,1,1,40,0,1
2,2,2,0,0,0,0
5,2,2,3,41,0,17
5,2,2,3,42,0,3
3,3,3,0,0,0,0
2,2,2,0,0,0,0
2,2,2,0,0,0,0
13,3,3,3,43,0,5
4,1,1,1,17,0,1
12,1,1,0,0,0,0
0,12,13,0,0,0,0
4,1,1,1,44,0,1
4,1,1,1,17,0,1
5,2,2,3,18,0,3
1,2,2,1,45,0,1
7,2,2,2,46,0,18
0,18,20,0,0,0,0
1,19,21,1,47,0,1
4,1,10,1,48,0,1
10,5,5,3,6,0,3
7,2,2,2,49,0,2
1,2,2,1,50,0,1
5,2,2,3,51,0,16
3,3,3,0,0,0,0
12,1,1,0,52,0,19
15,5,5,0,0,0,0
12,1,1,0,0,0,0
2,2,2,0,0,0,0
4,1,1,1,17,0,1
2,2,2,0,0,0,0
0,4,4,0,0,0,0
1,20,22,1,53,0,1
14,1,10,0,0,0,0
2,2,2,0,0,0,0
1,17,23,1,54,0,1
13,3,3,3,55,0,5
4,1,10,1,17,0,1
2,2,2,0,0,0,0
2,2,2,0,0,0,0
2,2,2,0,0,0,0
10,16,18,3,56,0,5
12,1,1,0,0,0,0
4,1,10,1,17,0,1
3,3,3,0,0,0,0
12,1,1,0,0,0,0
5,2,2,3,57,0,16
14,1,10,0,0,0,0
8,3,3,1,58,0,1
15,5,5,0,0,0,0
1,2,2,1,4,0,1
3,3,3,0,0,0,0
2,2,2,0,0,0,0
1,10,11,1,59,0,1
2,2,2,0,0,0,0
1,2,2,1,60,0,1
2,2,2,0,0,0,0
13,3,3,3,61,0,5
5,2,2,3,62,0,5
3,3,3,0,0,0,0
12,1,1,0,0,0,0
1,21,24,1,63,0,1
12,1,1,0,0,0,0
4,1,10,1,17,0,1
2,2,2,0,0,0,0
10,16,18,2,64,0,20
15,5,5,0,0,0,0
1,20,22,1,53,0,1
2,2,2,0,0,0,0
0,4,4,0,0,0,0
1,2,2,1,65,0,1
4,1,10,1,17,0,1
4,1,1,1,17,0,1
0,22,25,0,0,0,0
12,1,1,0,0,0,0
3,3,3,0,0,0,0
1,2,2,1,66,0,1
15,5,5,0,0,0,0
15,5,5,0,0,0,0
12,1,1,0,0,0,0
8,3,3,1,67,0,1
2,2,2,0,0,0,0
12,1,1,0,0,0,0
4,1,1,1,17,0,1
4,1,10,1,17,0,1
2,2,2,0,0,0,0
4,1,1,1,17,0,1
12,1,1,0,0,0,0
3,3,3,0,0,0,0
4,1,1,1,68,0,1
12,1,1,0,0,0,0
10,1,1,3,69,0,10
7,2,2,2,70,0,2
0,8,26,0,0,0,0
1,0,0,1,71,0,1
2,2,2,0,0,0,0
1,23,27,1,72,0,1
5,2,2,3,73,0,5
2,2,2,0,0,0,0
5,2,2,3,74,0,3
14,1,10,0,0,0,0
0,4,4,0,0,0,0
3,3,3,0,0,0,0
1,2,2,1,75,0,1
3,3,3,0,0,0,0
1,2,2,1,58,0,1
1,0,0,1,8,0,1
1,2,2,1,12,0,1
0,4,4,0,0,0,0
14,1,10,0,0,0,0
12,1,1,0,0,0,0
5,2,2,3,76,0,3
3,3,3,0,0,0,0
2,2,2,0,0,0,0
6,0,0,0,0,0,0
4,1,1,1,17,0,1
2,2,2,0,0,0,0
12,1,1,0,0,0,0
2,2,2,0,0,0,0
5,2,2,3,77,0,10
4,1,10,1,17,0,1
14,1,10,0,0,0,0
10,5,5,4,78,0,21
3,3,3,0,0,0,0
4,1,1,1,3,0,1
12,1,28,0,0,0,0
12,1,1,0,0,0,0
2,2,2,0,0,0,0
8,3,3,1,63,0,1
10,1,10,3,79,0,5
8,3,3,1,1,0,1
5,2,2,3,9,0,5
2,2,2,0,0,0,0
5,2,2,3,80,0,7
12,1,1,0,0,0,0
2,2,2,0,0,0,0
0,24,29,0,0,0,0
2,2,2,0,0,0,0
14,1,10,0,81,0,19
11,2,2,1,82,0,4
4,1,1,1,17,0,1
15,5,5,0,0,0,0
1,2,2,1,83,0,1
4,1,1,1,84,0,1
10,25,30,3,85,0,22
3,3,3,0,0,0,0
1,2,2,1,4,0,1
2,2,2,0,0,0,0
2,2,2,0,0,0,0
15,5,5,0,0,0,0
2,2,2,0,0,0,0
1,2,2,1,4,0,1
2,2,2,0,0,0,0
1,2,2,1,4,0,1
4,1,1,1,17,0,1
0,26,31,0,0,0,0
10,5,5,3,86,0,11
2,2,2,0,0,0,0
12,1,1,0,0,0,0
13,3,3,2,87,0,23
2,2,2,0,0,0,0
3,3,3,0,0,0,0
5,2,2,3,18,0,3
5,2,2,3,42,0,3
5,2,2,3,88,0,7
12,1,1,0,0,0,0
15,5,5,0,0,0,0
1,20,22,1,53,0,1
2,2,2,0,0,0,0
1,2,2,1,89,0,1
4,1,10,1,17,0,1
5,2,2,3,9,0,5
15,5,5,0,0,0,0
2,2,2,0,0,0,0
4,1,10,1,17,0,1
1,2,2,1,17,0,1
5,2,2,3,18,0,3
15,5,5,0,0,0,0
1,2,2,1,90,0,1
5,2,2,3,20,0,9
2,2,2,0,0,0,0
1,2,2,1,2,0,1
15,5,5,0,0,0,0
2,2,2,0,0,0,0
1,2,2,1,17,0,1
1,5,5,1,8,0,1
7,2,2,2,91,0,2
0,4,4,0,0,0,0
12,1,1,0,0,0,0
5,2,2,3,92,0,16
1,2,2,1,25,0,1
1,2,2,1,17,0,1
12,1,1,0,0,0,0
2,2,2,0,0,0,0
4,1,1,1,17,0,1
10,5,5,3,93,0,13
2,2,2,0,0,0,0
4,1,10,1,17,0,1
14,1,10,0,0,0,0
1,27,32,1,47,0,1
1,2,2,1,17,0,1
4,1,1,1,17,0,1
6,0,0,0,0,0,0
1,2,2,1,12,0,1
1,2,2,1,4,0,1
11,1,28,1,94,0,4
12,1,1,0,0,0,0
8,3,3,1,95,0,1
1,2,2,1,17,0,1
15,5,5,0,0,0,0
15,5,5,0,0,0,0
12,1,1,0,0,0,0
2,2,2,0,0,0,0
3,3,3,0,0,0,0
1,27,32,1,47,0,1
4,1,1,1,96,0,1
1,2,2,1,60,0,1
10,5,5,3,97,0,24
0,28,33,0,0,0,0
5,2,2,3,98,0,22
0,4,4,0,0,0,0
2,2,2,0,0,0,0
1,0,0,1,47,0,1
4,1,1,1,17,0,1
4,1,10,1,17,0,1
1,20,22,1,53,0,1
2,2,2,0,0,0,0
2,2,2,0,0,0,0
0,25,30,0,0,0,0
12,1,17,0,0,0,0
2,2,2,0,0,0,0
14,1,10,0,0,0,0
5,2,2,3,99,0,25
2,2,2,0,0,0,0
1,2,2,1,90,0,1
14,1,10,0,0,0,0
4,1,1,1,100,0,1
13,3,3,3,101,0,5
4,1,10,1,29,0,1
13,3,3,3,102,0,7
14,1,10,0,0,0,0
1,2,2,1,103,0,1
4,1,10,1,17,0,1
2,2,2,0,0,0,0
12,1,1,0,0,0,0
14,1,10,0,0,0,0
1,5,5,1,104,0,1
2,2,2,0,0,0,0
5,2,2,3,105,0,16
2,2,2,0,0,0,0
10,5,5,3,79,0,5
5,2,2,3,62,0,5
1,2,2,1,4,0,1
1,11,12,1,106,0,1
2,2,2,0,0,0,0
4,1,1,1,12,0,1
1,2,2,1,107,0,1
1,2,2,1,108,0,1
1,0,0,1,4,0,1
4,1,1,1,17,0,1
0,20,22,0,0,0,0
5,2,2,3,109,0,3
8,3,3,1,110,0,1
5,2,2,3,111,0,3
2,2,2,0,0,0,0
2,2,2,0,0,0,0
4,1,10,1,17,0,1
2,2,2,0,0,0,0
3,3,3,0,0,0,0
1,2,2,1,50,0,1
7,26,31,2,112,0,15
1,4,4,1,71,0,1
1,17,23,1,54,0,1
2,2,2,0,0,0,0
2,2,2,0,0,0,0
0,11,12,0,0,0,0
2,2,2,0,0,0,0
2,2,2,0,0,0,0
15,5,5,0,0,0,0
1,2,2,1,58,0,1
12,1,1,0,0,0,0
2,2,2,0,0,0,0
5,2,2,3,20,0,9
15,5,5,0,0,0,0
12,1,1,0,0,0,0
